año,orden de compra,fecha,importe,proveedor,dependencia,expediente,,,,,
2025,23,8/1/2025,4763800,EQUIVIAL SUDAMERICANA S.A.,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 103/2025
2025,172,22/1/2025,360000,BARRIO Y LIPPERHEIDE JAVIER IGNACIO,MUSEO DE CIENCIAS NATURALES,Suministro 384/2025
2025,246,27/1/2025,49250,MG PHARMACORP SRL.,SEC. DE SALUD,Suministro 106/2025
2025,187,23/1/2025,43834,HIPERTEHUELCHE,SUBSECRETARIA DE ESPACIOS PUBLICOS,Suministro 278/2025
2025,189,23/1/2025,2699510,AGRO MAZZUCHELLI S.R.L.,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 168/2025
2025,190,23/1/2025,51000,ACCESORIOS IGNACIO,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 168/2025
2025,829,28/2/2025,11000000,FUNS,OFIC PRESERVACION Y OPTIM DE LA CALIDAD AMBIENTAL,Suministro 129/2025
2025,849,28/2/2025,872850,AHORA MULTIMEDIOS,INTENDENCIA,Suministro 1139/2025
2025,885,28/2/2025,26098215,DIARIO LA NUEVA PROVINCIA S.R.L.,INTENDENCIA,Suministro 1169/2025
2025,886,28/2/2025,37096122,DIARIO LA NUEVA PROVINCIA S.R.L.,INTENDENCIA,Suministro 1170/2025
2025,907,28/2/2025,481815,SCHBIB NICOLAS,INTENDENCIA,Suministro 1179/2025
2025,621,20/2/2025,1388000,CARLOS GASTINEL Y CIA SRL,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 853/2025
2025,622,20/2/2025,2278000,TORNERIA MECANICA FURIA,DEPARTAMENTO TALLERES Y MAESTRANZA,Suministro 853/2025
2025,698,24/2/2025,123500,SUBLIMAR BAHIA SRL.,INSTITUTO DEL DEPORTE,Suministro 970/2025
2025,1206,28/3/2025,3630753,COOPERATIVA DE TRABAJO LA PRIMERA DE INGENIERO WHITE,DIRECCION GENERAL DE EDUCACION,Suministro 1662/2025
2025,2036,30/4/2025,3000000,LA BRUJULA 24,H.C.D.,Suministro 2133/2025
2025,520,14/2/2025,200000,FIADARON PATRICIA INES,INSTITUTO CULTURAL MUNICIPAL,Suministro 788/2025
2025,604,20/2/2025,750000,SIRACO DISEÑO + IMPRESION,"AGENCIA DES TERRITORIAL, DESCENT Y PARTIC CIUDAD",Suministro 844/2025
2025,605,20/2/2025,1688000,COOPERATIVA DE TRABAJO BAHIA GALA LIMITADA,TEATRO MUNICIPAL,Suministro 872/2025
2025,672,24/2/2025,177600,KIRSA S.A.,SUBSECRETARIA DE DESARROLLO PRODUCTIVO,Suministro 889/2025
2025,684,24/2/2025,550000,SCARDACIONE PABLO NORBERTO,INSTITUTO CULTURAL MUNICIPAL,Suministro 980/2025
2025,688,24/2/2025,5722000,COOPERATIVA DE TRABAJO ANCLA BLANCA LIMITADA,DEP. CONTADURIA,Suministro 1001/2025
2025,701,24/2/2025,1350000,ARTIGAS,DIVISION DESARROLLO SOCIAL,Suministro 654/2025
2025,712,25/2/2025,286800,PANADERIA EL CRISOL,"SUBSECR. DE NINEZ, ADOLESC. Y FAMILIA",Suministro 840/2025
2025,1077,18/3/2025,1650400,DROGUERIA SIS,SEC. DE SALUD,Suministro 1344/2025
2025,1085,19/3/2025,13846279.2,SVARA INGENIERIA CIVIL SRL.,SECRETARIA DE COORDINACION DE DELEGACIONES,Suministro 1475/2025
2025,1096,20/3/2025,180000,RECTIFICACIONES D.L.C.,DIV. DE CONTROL Y ORDENAMIENTO URBANO,Suministro 1149/2025
2025,1246,31/3/2025,1233567,LAUQUEN ANALIA BEATRIZ,SISTEMA DE AMAS EXTERNAS,Suministro 1560/2025
